Order	Species	Scale	Deme	Nuc_Div	U_Haps	N_pairs	N_seqs	Medn_dt	N_dates	Mdn_dst	ag_post	ag_pre	built	tmax	tmin	vpdmax	precip	icide	Lon	Lat
Trichoptera	Ceratopsyche bronta	1	5	0.000468329235453	0.230769230769231	78	13	2013	2	0	0.245353811707682	0.410004307883984	0.328550932568149	17.3216667175293	6.18833351135254	11.3575000762939	1183.72998046875	0.457885081953694	-75.7819	39.8358
Trichoptera	Ceratopsyche bronta	1	6	0.000810995905826	0.722222222222222	153	18	2010	2	0.122063047572597	0.245353811707682	0.410004307883984	0.056160458452722	17.1895837783813	6.03166675567627	11.1737499237061	1189.31500244141	0.457885081953694	-75.7847	39.86292778
Trichoptera	Ceratopsyche bronta	1	9	0.000506585612969	0.75	6	4	2013	1	0.010619897890815	0.096681309870253	0.17592833532887	0.033781849413112	19.8138891855876	6.59499994913737	12.9630556106567	1466.10668945312	0.159979714869586	-83.69795	35.652825
Trichoptera	Ceratopsyche bronta	1	10	0	1	1	2	2013	1	0.443902152928651	0.096681309870253	0.17592833532887	0.034146341463415	19.6866669654846	6.3383332490921	12.8520834445953	1485.40252685547	0.159979714869586	-83.69445	35.6453
Trichoptera	Ceratopsyche bronta	1	12	0.000376237813679	0.259259259259259	1431	54	2010	4	0	0.310973450833122	0.469021786846279	0.110410094637224	17.031665802002	5.90999984741211	11.7466669082642	1147.85998535156	0.404851182938201	-75.752	40.385
Trichoptera	Ceratopsyche bronta	1	13	0.000486879028873	0.428571428571429	91	14	2010	3	0	0.310973450833122	0.469021786846279	0.063738156761413	16.3466663360596	4.80249977111816	11.1374998092651	1214.05004882812	0.404851182938201	-75.708	40.421
Trichoptera	Ceratopsyche bronta	1	14	0.000461396189981	0.402985074626866	2211	67	2010	4	0	0.114998783007053	0.159725075900549	0.075779239348013	15.6366672515869	3.76916670799255	10.6841669082642	1265.2900390625	0.434915007251806	-75.998	40.704
Trichoptera	Ceratopsyche bronta	1	15	0.000440231441301	0.41025641025641	741	39	2010	3	0	0.245353811707682	0.410004307883984	0.047031832520792	16.9727776845296	5.76861127217611	10.749444325765	1226.61002604167	0.457885081953694	-75.861	39.929
Trichoptera	Ceratopsyche bronta	1	16	0.001147822492751	0.458333333333333	276	24	2010	3	0	0.310973450833122	0.469021786846279	0.087864911276474	16.3816661834717	4.96583318710327	11.1187500953674	1203.35003662109	0.404851182938201	-75.706	40.398
Trichoptera	Ceratopsyche bronta	1	18	0.000355523352923	0.513513513513513	666	37	2010	2	0	0.245353811707682	0.410004307883984	0.114678899082569	17.1895837783813	6.03166675567627	11.1737499237061	1189.31500244141	0.457885081953694	-75.78423514	39.85531351
Trichoptera	Micrasema bactro	1	1	0.005289617213274	1	3	3	2013	2	0	0.051135499153492	0.031292114886039	0	10.5416669845581	-2.50416684150696	10.8858337402344	580.539978027344	0.303362941310012	-105.549	40.406
Trichoptera	Micrasema bactro	1	3	0.009118541033435	1	1	2	2013	1	0	0.034924321601159	0.060795029810541	0	13.3916668891907	1.78791671991348	10.784583568573	2105.75500488281	0.155989927266581	-121.932	44.5839
Trichoptera	Micrasema bactro	1	7	0	0.5	1	2	2013	1	0	0.010191777946046	0.003947539306339	0	10.3458333015442	-4.625	10.8279166221619	734.295013427734	0.27683114744653	-115.011	44.1978
Trichoptera	Limnephilus moestus	1	1	0	1	1	2	2014.5	2	0	0.051135499153492	0.031292114886039	0.000572246065808	5.47416687011719	-7.02166652679443	6.91750001907349	997.830017089844	0.303362941310012	-105.784	40.426
Trichoptera	Limnephilus moestus	1	2	0.001736864958749	0.571428571428571	21	7	2013	1	0	0.101353134278781	0.167761556226512	0.052193862919415	11.7224998474121	-0.382500052452087	8.09749984741211	1059.08996582031	1.59907645977131	-73.8828	44.5112
Trichoptera	Brachycentrus aff. americanus B BG	1	1	0.012110726643599	1	1	2	2014.5	2	0	0.051135499153492	0.031292114886039	0	13.9838889439901	0.096388841668765	13.4286111195882	496.61333211263	0.303362941310012	-105.348	40.571
Trichoptera	Triaenodes taenius	1	2	0	1	1	2	2013	1	0	0.054661260467128	0.108324854872136	0.114810562571757	16.2216672897339	5.98583316802979	9.69958353042603	1449.30505371094	1.01712878382535	-80.444	36.709
Trichoptera	Rhyacophila carolina	1	5	0.00453514739229	1	1	2	2013	1	0.62308183139977	0.096525660347191	0.175375054565883	0.014908256880734	20.4404163360596	7.47458338737488	13.8541669845581	1431.47497558594	0.15744673327782	-83.9844	35.5304
